Key	PublTitle	Year	Title	Volumne	Number	DOI	Authors
"journals/tvcg/RamachandraHZN11"	"Spatioangular Prefiltering for Multiview 3D Displays."	"2011"	"IEEE Trans. Vis. Comput. Graph."	"17"	"5"	"https://doi.org/10.1109/TVCG.2010.86"	"Vikas Ramachandra;Keigo Hirakawa;Matthias Zwicker;Truong Q. Nguyen"
"journals/tvcg/RamamurthiAC22"	"A Topological Similarity Measure Between Multi-Resolution Reeb Spaces."	"2022"	"IEEE Trans. Vis. Comput. Graph."	"28"	"12"	"https://doi.org/10.1109/TVCG.2021.3087273"	"Yashwanth Ramamurthi;Tripti Agarwal;Amit Chattopadhyay"
"journals/tvcg/RamanarayananB07"	"Constrained Texture Synthesis via Energy Minimization."	"2007"	"IEEE Trans. Vis. Comput. Graph."	"13"	"1"	"https://doi.org/10.1109/TVCG.2007.4"	"Ganesh Ramanarayanan;Kavita Bala"
"journals/tvcg/RameauHJCPK16"	"A Real-Time Augmented Reality System to See-Through Cars."	"2016"	"IEEE Trans. Vis. Comput. Graph."	"22"	"11"	"https://doi.org/10.1109/TVCG.2016.2593768"	"François Rameau;Hyowon Ha;Kyungdon Joo;Jinsoo Choi;Kibaek Park;In-So Kweon"
"journals/tvcg/RandhavaneBKGM19"	"FVA: Modeling Perceived Friendliness of Virtual Agents Using Movement Characteristics."	"2019"	"IEEE Trans. Vis. Comput. Graph."	"25"	"11"	"https://doi.org/10.1109/TVCG.2019.2932235"	"Tanmay Randhavane;Aniket Bera;Kyra Kapsaskis;Kurt Gray;Dinesh Manocha"
"journals/tvcg/RandhavaneBKGM21"	"Modeling Data-Driven Dominance Traits for Virtual Characters Using Gait Analysis."	"2021"	"IEEE Trans. Vis. Comput. Graph."	"27"	"6"	"https://doi.org/10.1109/TVCG.2019.2953063"	"Tanmay Randhavane;Aniket Bera;Emily Kubin;Kurt Gray;Dinesh Manocha"
"journals/tvcg/RanonU14"	"Improving the Efficiency of Viewpoint Composition."	"2014"	"IEEE Trans. Vis. Comput. Graph."	"20"	"5"	"https://doi.org/10.1109/TVCG.2013.2297932"	"Roberto Ranon;Tommaso Urli"
"journals/tvcg/RappPD20"	"Void-and-Cluster Sampling of Large Scattered Data and Trajectories."	"2020"	"IEEE Trans. Vis. Comput. Graph."	"26"	"1"	"https://doi.org/10.1109/TVCG.2019.2934335"	"Tobias Rapp;Christoph Peters 0002;Carsten Dachsbacher"
"journals/tvcg/RappPD21"	"Visual Analysis of Large Multivariate Scattered Data using Clustering and Probabilistic Summaries."	"2021"	"IEEE Trans. Vis. Comput. Graph."	"27"	"2"	"https://doi.org/10.1109/TVCG.2020.3030379"	"Tobias Rapp;Christoph Peters 0002;Carsten Dachsbacher"
"journals/tvcg/RappPD22"	"Image-based Visualization of Large Volumetric Data Using Moments."	"2022"	"IEEE Trans. Vis. Comput. Graph."	"28"	"6"	"https://doi.org/10.1109/TVCG.2022.3165346"	"Tobias Rapp;Christoph Peters 0002;Carsten Dachsbacher"
"journals/tvcg/RappoportSB96"	"Volume-Preserving Free-Form Solids."	"1996"	"IEEE Trans. Vis. Comput. Graph."	"2"	"1"	"https://doi.org/10.1109/2945.489383"	"Ari Rappoport;Alla Sheffer;Michel Bercovier"
"journals/tvcg/RatcliffSAA20"	"ThinVR: Heterogeneous microlens arrays for compact, 180 degree FOV VR near-eye displays."	"2020"	"IEEE Trans. Vis. Comput. Graph."	"26"	"5"	"https://doi.org/10.1109/TVCG.2020.2973064"	"Joshua Ratcliff;Alexey Supikov;Santiago Alfaro;Ronald T. Azuma"
"journals/tvcg/RathinavelWBF18"	"An Extended Depth-at-Field Volumetric Near-Eye Augmented Reality Display."	"2018"	"IEEE Trans. Vis. Comput. Graph."	"24"	"11"	"https://doi.org/10.1109/TVCG.2018.2868570"	"Kishore Rathinavel;Hanpeng Wang;Alex Blate;Henry Fuchs"
"journals/tvcg/RathinavelWF19"	"Varifocal Occlusion-Capable Optical See-through Augmented Reality Display based on Focus-tunable Optics."	"2019"	"IEEE Trans. Vis. Comput. Graph."	"25"	"11"	"https://doi.org/10.1109/TVCG.2019.2933120"	"Kishore Rathinavel;Gordon Wetzstein;Henry Fuchs"
"journals/tvcg/RathoreLLS20"	"Estimating Color-Concept Associations from Image Statistics."	"2020"	"IEEE Trans. Vis. Comput. Graph."	"26"	"1"	"https://doi.org/10.1109/TVCG.2019.2934536"	"Ragini Rathore;Zachary Leggon;Laurent Lessard;Karen B. Schloss"
"journals/tvcg/RauberFFT17"	"Visualizing the Hidden Activity of Artificial Neural Networks."	"2017"	"IEEE Trans. Vis. Comput. Graph."	"23"	"1"	"https://doi.org/10.1109/TVCG.2016.2598838"	"Paulo E. Rauber;Samuel G. Fadel;Alexandre X. Falcão;Alexandru C. Telea"
"journals/tvcg/RautekBG07"	"Semantic Layers for Illustrative Volume Rendering."	"2007"	"IEEE Trans. Vis. Comput. Graph."	"13"	"6"	"https://doi.org/10.1109/TVCG.2007.70591"	"Peter Rautek;Stefan Bruckner;M. Eduard Gröller"
"journals/tvcg/RautekBGH14"	"ViSlang: A System for Interpreted Domain-Specific Languages for Scientific Visualization."	"2014"	"IEEE Trans. Vis. Comput. Graph."	"20"	"12"	"https://doi.org/10.1109/TVCG.2014.2346318"	"Peter Rautek;Stefan Bruckner;M. Eduard Gröller;Markus Hadwiger"
"journals/tvcg/RautekMBTPTH21"	"Objective Observer-Relative Flow Visualization in Curved Spaces for Unsteady 2D Geophysical Flows."	"2021"	"IEEE Trans. Vis. Comput. Graph."	"27"	"2"	"https://doi.org/10.1109/TVCG.2020.3030454"	"Peter Rautek;Matej Mlejnek;Johanna Beyer;Jakob Troidl;Hanspeter Pfister;Thomas Theußl;Markus Hadwiger"
"journals/tvcg/RautekVG06"	"Caricaturistic Visualization."	"2006"	"IEEE Trans. Vis. Comput. Graph."	"12"	"5"	"https://doi.org/10.1109/TVCG.2006.123"	"Peter Rautek;Ivan Viola;M. Eduard Gröller"
"journals/tvcg/RautenhausBSHKM18"	"Visualization in Meteorology - A Survey of Techniques and Tools for Data Analysis Tasks."	"2018"	"IEEE Trans. Vis. Comput. Graph."	"24"	"12"	"https://doi.org/10.1109/TVCG.2017.2779501"	"Marc Rautenhaus;Michael Böttinger;Stephan Siemen;Robert Hoffman;Robert M. Kirby;Mahsa Mirzargar;Niklas Röber;Rüdiger Westermann"
