vispub_doi,aminer_id,method
10.1109/tvcg.2013.142,5390be6620f70186a0f4bba3,doi
10.1109/tvcg.2018.2864827,5c0f88edda562944ac981689,doi
10.1109/tvcg.2022.3209491,631ff4f690e50fcafd85abf2,doi
10.1109/visual.1999.809894,539087f820f70186a0d72a46,doi
10.1109/vast.2008.4677386,558b0c00e4b037c0875ab4f4,doi
10.1109/tvcg.2016.2598824,58437713ac44360f1082cc26,doi
10.1109/tvcg.2022.3209352,6338502e90e50fcafd522ec3,doi
10.1109/infvis.2003.1249016,5390979920f70186a0dffcea,doi
10.1109/infvis.2004.13,5390979920f70186a0e010ba,doi
10.1109/vast.2015.7347682,573697316e3b12023e621660,doi
10.1109/visual.2000.885675,5390881220f70186a0d7e162,doi
10.1109/tvcg.2013.231,5390be6620f70186a0f4bbd7,doi
10.1109/vast.2009.5333965,53e9ad6cb7602d97037587fa,doi
10.1109/tvcg.2021.3114781,61397b715244ab9dcb323aa8,doi
10.1109/visual.2004.34,5390979920f70186a0e00530,doi
10.1109/infvis.2005.1532125,5390990f20f70186a0e1002a,doi
10.1109/vast.2007.4389026,5390a45620f70186a0e733f1,doi
10.1109/tvcg.2009.182,5390a6d920f70186a0e87da7,doi
10.1109/vast.2009.5332593,558b5f6ae4b037c0875c86f6,doi
10.1109/tvcg.2016.2598885,58437713ac44360f1082cc12,doi
10.1109/tvcg.2018.2865043,5c0f8b3bda562944ac9cbf25,doi
10.1109/tvcg.2015.2467271,5687de2e0cf2afdcd165fa62,doi
10.1109/tvcg.2017.2744118,59ae0cda0cf284510fa8b42c,doi
10.1109/tvcg.2023.3326915,6539ff5c939a5f40823b0505,doi
10.1109/visual.1998.745281,539087ef20f70186a0d6cefe,doi
10.1109/visual.1997.663895,53e9a96cb7602d97032c306c,doi
10.1109/visual.1997.663921,53e9aab7b7602d97034335cd,doi
10.1109/tvcg.2019.2934612,5d63ae47ed7e9c7926557dad,doi
10.1109/infvis.2004.49,5390979920f70186a0e010d5,title
10.1109/tvcg.2017.2743979,59ae0cdb0cf284510fa8b43c,doi
10.1109/tvcg.2012.284,53e998ceb7602d970210aed8,doi
10.1109/scivis.2015.7429509,573698876e3b12023e746190,doi
10.1109/tvcg.2018.2864899,5c0f890cda562944ac9859ca,doi
10.1109/tvcg.2024.3456601,669dbc8001d2a3fbfca4233f,doi
10.1109/tvcg.2013.197,5390be6620f70186a0f4bbae,doi
10.1109/tvcg.2009.168,5390a6d920f70186a0e87dd4,doi
10.1109/tvcg.2013.147,5390be6620f70186a0f4bb93,doi
10.1109/tvcg.2020.3030440,5f89773f9fced0a24bad3d24,doi
10.1109/visual.1990.146388,5390958a20f70186a0def685,doi
10.1109/tvcg.2007.70535,53909f8c20f70186a0e3f783,doi
10.1109/visual.1999.809876,539087f820f70186a0d72a36,doi
10.1109/visual.1994.346291,5390958a20f70186a0defabb,doi
10.1109/tvcg.2011.191,5390b20120f70186a0ee507e,doi
10.1109/vast.2012.6400535,5390bae520f70186a0f3b1b6,doi
10.1109/vast.2010.5652450,53e9bc6eb7602d97048eb43c,doi
10.1109/tvcg.2015.2467555,563b69d20cf20b987890bcb5,doi
10.1109/tvcg.2020.3028891,5f8188e79fced0a24b1615e6,doi
10.1109/tvcg.2021.3114822,6156e6655244ab9dcb54fe38,doi
10.1109/visual.2001.964548,539089ab20f70186a0d96ac1,doi
10.1109/tvcg.2009.200,5390a6d920f70186a0e87d99,doi
10.1109/scivis.2015.7429510,573698876e3b12023e74618a,doi
10.1109/tvcg.2019.2934593,5d5e685ded7e9c79265497a9,doi
10.1109/tvcg.2024.3456371,66b2d8b401d2a3fbfcf3b04c,doi
