doi,author,gender,position,position.rank
10.1109/INFVIS.2001.963287,Susan L. Havre,female,1,F
10.1109/INFVIS.2001.963287,Elizabeth G. Hetzler,female,2,M
10.1109/INFVIS.2001.963287,Kenneth A. Perrine,male,3,M
10.1109/INFVIS.2001.963287,Elizabeth Jurrus,female,4,M
10.1109/INFVIS.2001.963287,Nancy Miller,female,5,L
10.1109/INFVIS.2001.963288,Daniel A. Keim,male,1,F
10.1109/INFVIS.2001.963288,Ming C. Hao,female,2,M
10.1109/INFVIS.2001.963288,Julian Ladisch,male,3,M
10.1109/INFVIS.2001.963288,Meichun Hsu,female,4,M
10.1109/INFVIS.2001.963288,Umeshwar Dayal,male,5,L
10.1109/INFVIS.2001.963289,Alfred Kobsa,male,1,F
10.1109/INFVIS.2001.963290,S. Todd Barlow,male,1,F
10.1109/INFVIS.2001.963290,Padraic Neville,male,2,L
10.1109/INFVIS.2001.963291,Monica Tavanti,female,1,F
10.1109/INFVIS.2001.963291,Mats Lind,male,2,L
10.1109/INFVIS.2001.963292,S. Todd Barlow,male,1,F
10.1109/INFVIS.2001.963292,Padraic Neville,male,2,L
10.1109/INFVIS.2001.963293,Jeffrey Brainerd,male,1,F
10.1109/INFVIS.2001.963293,Barry G. Becker,male,2,L
10.1109/INFVIS.2001.963294,Robert M. Edsall,male,1,F
10.1109/INFVIS.2001.963294,Alan M. MacEachren,male,2,M
10.1109/INFVIS.2001.963294,Linda Pickle,female,3,L
10.1109/INFVIS.2001.963295,James Agutter,male,1,F
10.1109/INFVIS.2001.963295,Noah Syroid,male,2,M
10.1109/INFVIS.2001.963295,Frank Drews,male,3,M
10.1109/INFVIS.2001.963295,Dwayne R. Westenskow,male,4,M
10.1109/INFVIS.2001.963295,Julio C. Bermudez,male,5,M
10.1109/INFVIS.2001.963295,David L. Strayer,male,6,L
10.1109/INFVIS.2001.963296,Jeffrey L. Posdamer,male,1,F
10.1109/INFVIS.2002.1173140,William S. Cleveland,male,1,F
10.1109/INFVIS.2002.1173141,Chris Stolte,male,1,F
10.1109/INFVIS.2002.1173141,Diane Tang,female,2,M
10.1109/INFVIS.2002.1173141,Pat Hanrahan,male,3,L
10.1109/INFVIS.2002.1173142,Chris North,male,1,F
10.1109/INFVIS.2002.1173142,Nathan Conklin,male,2,M
10.1109/INFVIS.2002.1173142,Varun Saini,male,3,L
10.1109/INFVIS.2002.1173143,Michelle X. Zhou,female,1,F
10.1109/INFVIS.2002.1173143,Min Chen,male,2,M
10.1109/INFVIS.2002.1173143,Ying Feng,female,3,L
10.1109/INFVIS.2002.1173144,Daniel A. Keim,male,1,F
10.1109/INFVIS.2002.1173144,Stephen C. North,male,2,M
10.1109/INFVIS.2002.1173144,Christian Panse,male,3,M
10.1109/INFVIS.2002.1173144,Jörn Schneidewind,male,4,L
10.1109/INFVIS.2002.1173145,Christopher Olston,male,1,F
10.1109/INFVIS.2002.1173145,Jock D. Mackinlay,male,2,L
10.1109/INFVIS.2002.1173146,Lucy T. Nowell,female,1,F
10.1109/INFVIS.2002.1173146,Robert S. Schulman,male,2,M
10.1109/INFVIS.2002.1173146,Deborah Hix,female,3,L
10.1109/INFVIS.2002.1173147,Mats Lind,male,1,F
10.1109/INFVIS.2002.1173147,Geoffrey P. Bingham,male,2,M
10.1109/INFVIS.2002.1173147,Camilla Forsell,female,3,L
10.1109/INFVIS.2002.1173148,Catherine Plaisant,female,1,F
10.1109/INFVIS.2002.1173148,Jesse Grosjean,male,2,M
10.1109/INFVIS.2002.1173148,Benjamin B. Bederson,male,3,L
10.1109/INFVIS.2002.1173149,Kresimir Matkovic,male,1,F
10.1109/INFVIS.2002.1173149,Helwig Hauser,male,2,M
10.1109/INFVIS.2002.1173149,Reinhard Sainitzer,male,3,M
10.1109/INFVIS.2002.1173149,M. Eduard Gröller,male,4,L
10.1109/INFVIS.2002.1173150,Nina Amenta,female,1,F
10.1109/INFVIS.2002.1173150,Jeff Klingner,male,2,L
10.1109/INFVIS.2002.1173151,Jing Yang 0001,female,1,F
10.1109/INFVIS.2002.1173151,Matthew O. Ward,male,2,M
10.1109/INFVIS.2002.1173151,Elke A. Rundensteiner,female,3,L
10.1109/INFVIS.2002.1173152,Quang Vinh Nguyen,male,1,F
10.1109/INFVIS.2002.1173152,Mao Lin Huang,female,2,L
10.1109/INFVIS.2002.1173153,Frank van Ham,male,1,F
10.1109/INFVIS.2002.1173153,Jarke J. van Wijk,male,2,L
10.1109/INFVIS.2002.1173154,Praveen R. Thiagarajan,male,1,F
10.1109/INFVIS.2002.1173154,Guang R. Gao,male,2,L
10.1109/INFVIS.2002.1173155,Martin Wattenberg,male,1,F
10.1109/INFVIS.2002.1173156,Jean-Daniel Fekete,male,1,F
10.1109/INFVIS.2002.1173156,Catherine Plaisant,female,2,L
10.1109/INFVIS.2002.1173157,Helwig Hauser,male,1,F
10.1109/INFVIS.2002.1173157,Florian Ledermann,male,2,M
10.1109/INFVIS.2002.1173157,Helmut Doleisch,male,3,L
10.1109/INFVIS.2002.1173158,Nathan Conklin,male,1,F
10.1109/INFVIS.2002.1173158,Sandeep Prabhakar,male,2,M
10.1109/INFVIS.2002.1173158,Chris North,male,3,L
10.1109/INFVIS.2002.1173159,Yehuda Koren,male,1,F
10.1109/INFVIS.2002.1173159,Liran Carmel,male,2,M
10.1109/INFVIS.2002.1173159,David Harel,male,3,L
10.1109/INFVIS.2002.1173160,Ulrik Brandes,male,1,F
10.1109/INFVIS.2002.1173160,Steven R. Corman,male,2,L
10.1109/INFVIS.2002.1173161,Alistair Morrison,male,1,F
10.1109/INFVIS.2002.1173161,Greg Ross,male,2,M
10.1109/INFVIS.2002.1173161,Matthew Chalmers,male,3,L
10.1109/INFVIS.2002.1173162,Mei C. Chuah,female,1,F
10.1109/INFVIS.2002.1173163,Alan Keahey,male,1,F
10.1109/INFVIS.2002.1173163,Stephen G. Eick,male,2,L
10.1109/INFVIS.2002.1173164,Stephen M. Kosslyn,male,1,F
10.1109/INFVIS.2003.1249000,Tamara Munzner,female,1,F
10.1109/INFVIS.2003.1249000,Steven C. North,male,2,L
10.1109/INFVIS.2003.1249001,Colin Ware,male,1,F
10.1109/INFVIS.2003.1249002,Ben Shedd,male,1,F
10.1109/INFVIS.2003.1249003,W. Bradford Paley,male,1,F
10.1109/INFVIS.2003.1249004,Jarke J. van Wijk,male,1,F
