,DOI,AuthorName-Deduped,PositionNumber,PositionCode,OriginalAffiliation,CleanedAffiliation,Country
1960,10.1109/TVCG.2009.159,Ming Dong 0001,5,L,"Wayne State University, USA",,
1961,10.1109/TVCG.2009.160,Cong Wang,1,F,"CSE Department, Polytechnic Institute of New York University, Brooklyn, NY, USA","New York University, USA",USA
1962,10.1109/TVCG.2009.160,Yi-Jen Chiang,2,L,"CSE Department, Polytechnic Institute of New York University, Brooklyn, NY, USA","New York University, USA",USA
1963,10.1109/TVCG.2009.161,David Meirion Hughes,1,F,"School of Computer Science, Bangor University, UK","Bangor University, UK",UK
1964,10.1109/TVCG.2009.161,Ik Soo Lim,2,L,"School of Computer Science, Bangor University, UK","Bangor University, UK",UK
1965,10.1109/TVCG.2009.162,Matthew Tobiasz,1,F,"University of Calgary, Canada","University of Calgary, Canada",Canada
1966,10.1109/TVCG.2009.162,Petra Isenberg,2,M,"University of Calgary, Canada","University of Calgary, Canada",Canada
1967,10.1109/TVCG.2009.162,Sheelagh Carpendale,3,L,"University of Calgary, Canada","University of Calgary, Canada",Canada
1968,10.1109/TVCG.2009.163,Julien Tierny,1,F,"Scientific Computing and Imaging Institute, University of Utah, USA","University of Utah,USA",USA
1969,10.1109/TVCG.2009.163,Attila Gyulassy,2,M,"Scientific Computing and Imaging Institute, University of Utah, USA","University of Utah,USA",USA
1970,10.1109/TVCG.2009.163,Eddie Simon,3,M,"Dassault Systèmes, USA","Dassault Systemes, France",France
1971,10.1109/TVCG.2009.163,Valerio Pascucci,4,L,"Scientific Computing and Imaging Institute, University of Utah, USA","University of Utah,USA",USA
1972,10.1109/TVCG.2009.164,Mikhail Smelyanskiy,1,F,"Intel Corporation, USA","Intel Corporation, USA",USA
1973,10.1109/TVCG.2009.164,David R. Holmes 0001,2,M,"Mayo Clinic, USA",,
1974,10.1109/TVCG.2009.164,Jatin Chhugani,3,M,"Intel Corporation, USA","Intel Corporation, USA",USA
1975,10.1109/TVCG.2009.164,Alan Larson,4,M,"Mayo Clinic, USA","Intel Corporation, USA",USA
1976,10.1109/TVCG.2009.164,Doug Carmean,5,M,"Intel Corporation, USA","Mayo Clinic, USA",USA
1977,10.1109/TVCG.2009.164,Dennis P. Hanson,6,M,"Mayo Clinic, USA","Mayo Clinic, USA",USA
1978,10.1109/TVCG.2009.164,Pradeep Dubey,7,M,"Intel Corporation, USA","Intel Corporation, USA",USA
1979,10.1109/TVCG.2009.164,Kurt Augustine,8,M,"Mayo Clinic, USA","Mayo Clinic, USA",USA
1980,10.1109/TVCG.2009.164,Daehyun Kim 0001,9,M,"Intel Corporation, USA",,
1981,10.1109/TVCG.2009.164,Alan Kyker,10,M,"Intel Corporation, USA","Mayo Clinic, USA",USA
1982,10.1109/TVCG.2009.164,Victor W. Lee,11,M,"Intel Corporation, USA","Intel Corporation, USA",USA
1983,10.1109/TVCG.2009.164,Anthony D. Nguyen,12,M,"Intel Corporation, USA","Mayo Clinic, USA",USA
1984,10.1109/TVCG.2009.164,Larry Seiler,13,M,"Intel Corporation, USA","Intel Corporation, USA",USA
1985,10.1109/TVCG.2009.164,Richard A. Robb,14,L,"Mayo Clinic, USA","Intel Corporation, USA",USA
1986,10.1109/TVCG.2009.165,Frank van Ham,1,F,"IBM Research, USA","IBM Research, USA",USA
1987,10.1109/TVCG.2009.165,Martin Wattenberg,2,M,"IBM Research, USA","IBM Research, USA",USA
1988,10.1109/TVCG.2009.165,Fernanda B. Viégas,3,L,"IBM Research, USA","IBM Research, USA",USA
1989,10.1109/TVCG.2009.166,Behzad Sajadi,1,F,"Computer Science Department, University of California, Irvine, USA","University of California, Irvine, USA",USA
1990,10.1109/TVCG.2009.166,Aditi Majumder,2,L,"Computer Science Department, University of California, Irvine, USA","University of California, Irvine, USA",USA
1991,10.1109/TVCG.2009.167,Miriah D. Meyer,1,F,"Harvard University, USA","Harvard University,USA",USA
1992,10.1109/TVCG.2009.167,Tamara Munzner,2,M,"University of British Columbia, Canada","University of British Columbia, Canada",Canada
1993,10.1109/TVCG.2009.167,Hanspeter Pfister,3,L,"Harvard University, USA","Harvard University,USA",USA
