Paper DOI,Author Names
10.1109/tvcg.2017.2752166,Yafeng Lu
10.1109/tvcg.2017.2752166,Hong Wang
10.1109/tvcg.2017.2752166,Steven Landis
10.1109/tvcg.2017.2752166,Ross Maciejewski
10.1109/tvcg.2017.2661309,Hoa Nguyen
10.1109/tvcg.2017.2661309,Paul Rosen 0001
10.1109/tvcg.2014.2337333,Katerina Vrotsou
10.1109/tvcg.2014.2337333,Halldor Janetzko
10.1109/tvcg.2014.2337333,Carlo Navarra
10.1109/tvcg.2014.2337333,Georg Fuchs
10.1109/tvcg.2014.2337333,David Spretke
10.1109/tvcg.2014.2337333,Florian Mansmann
10.1109/tvcg.2014.2337333,Natalia V. Andrienko
10.1109/tvcg.2014.2337333,Gennady L. Andrienko
10.1109/tvcg.2015.2484343,Jonathan Palacios
10.1109/tvcg.2015.2484343,Harry Yeh
10.1109/tvcg.2015.2484343,Wenping Wang
10.1109/tvcg.2015.2484343,Yue Zhang 0009
10.1109/tvcg.2015.2484343,Robert S. Laramee
10.1109/tvcg.2015.2484343,Ritesh Sharma
10.1109/tvcg.2015.2484343,Thomas Schultz 0001
10.1109/tvcg.2015.2484343,Eugene Zhang
10.1109/tvcg.2016.2535340,Sayeed Safayet Alam
10.1109/tvcg.2016.2535340,Radu Jianu
10.1109/tvcg.2015.2513389,Holger Stitz
10.1109/tvcg.2015.2513389,Samuel Gratzl
10.1109/tvcg.2015.2513389,Wolfgang Aigner
10.1109/tvcg.2015.2513389,Marc Streit
10.1109/tvcg.2017.2750689,Yong Wang 0021
10.1109/tvcg.2017.2750689,Daniel Archambault
10.1109/tvcg.2017.2750689,Carlos Eduardo Scheidegger
10.1109/tvcg.2017.2750689,Huamin Qu
10.1109/tvcg.2015.2489660,Erick Gomez Nieto
10.1109/tvcg.2015.2489660,Wallace Casaca
10.1109/tvcg.2015.2489660,Danilo Motta
10.1109/tvcg.2015.2489660,Ivar A. Hartmann
10.1109/tvcg.2015.2489660,Gabriel Taubin
10.1109/tvcg.2015.2489660,Luis Gustavo Nonato
10.1109/tvcg.2017.2698041,Liang Zhou 0001
10.1109/tvcg.2017.2698041,Daniel Weiskopf
10.1109/tvcg.2015.2414454,Jungu Choi
10.1109/tvcg.2015.2414454,Deok Gun Park 0001
10.1109/tvcg.2015.2414454,Yuet Ling Wong
10.1109/tvcg.2015.2414454,Eli Raymond Fisher
10.1109/tvcg.2015.2414454,Niklas Elmqvist
10.1109/tvcg.2015.2417572,Hongfeng Yu 0001
10.1109/tvcg.2015.2417572,Jinrong Xie
10.1109/tvcg.2015.2417572,Kwan-Liu Ma
10.1109/tvcg.2015.2417572,Hemanth Kolla
10.1109/tvcg.2015.2417572,Jacqueline H. Chen
10.1109/tvcg.2015.2501813,Tatiana von Landesberger
10.1109/tvcg.2015.2501813,Dennis Basgier
10.1109/tvcg.2015.2501813,Meike Becker
10.1109/tvcg.2018.2810919,Christopher P. Kappe
10.1109/tvcg.2018.2810919,Michael Böttinger
10.1109/tvcg.2018.2810919,Heike Leitte
10.1109/tvcg.2015.2500225,Quirijn W. Bouts
10.1109/tvcg.2015.2500225,Tim Dwyer
10.1109/tvcg.2015.2500225,Jason Dykes
10.1109/tvcg.2015.2500225,Bettina Speckmann
10.1109/tvcg.2015.2500225,Sarah Goodwin
10.1109/tvcg.2015.2500225,Nathalie Henry Riche
10.1109/tvcg.2015.2500225,Sheelagh Carpendale
10.1109/tvcg.2015.2500225,Ariel Liebman
10.1109/tvcg.2014.2312009,Abon Chaudhuri
10.1109/tvcg.2014.2312009,Teng-Yok Lee
10.1109/tvcg.2014.2312009,Han-Wei Shen
10.1109/tvcg.2014.2312009,Rephael Wenger
10.1109/tvcg.2017.2773071,Jun Tao 0002
10.1109/tvcg.2017.2773071,Chaoli Wang 0001
10.1109/tvcg.2017.2773071,Nitesh V. Chawla
10.1109/tvcg.2017.2773071,Lei Shi 0002
10.1109/tvcg.2017.2773071,Seung Hyun Kim
10.1109/tvcg.2018.2818701,Pavel A. Govyadinov
10.1109/tvcg.2018.2818701,Tasha Womack
10.1109/tvcg.2018.2818701,Jason L. Eriksen
10.1109/tvcg.2018.2818701,Guoning Chen
10.1109/tvcg.2018.2818701,David Mayerich
10.1109/tvcg.2016.2539949,Henan Zhao
10.1109/tvcg.2016.2539949,Garnett W. Bryant
10.1109/tvcg.2016.2539949,Wesley Griffin
10.1109/tvcg.2016.2539949,Judith E. Terrill
10.1109/tvcg.2016.2539949,Jian Chen 0006
10.1109/tvcg.2016.2620975,Franz Sauer
10.1109/tvcg.2016.2620975,Jinrong Xie
10.1109/tvcg.2016.2620975,Kwan-Liu Ma
10.1109/tvcg.2015.2500240,Danielle Albers Szafir
10.1109/tvcg.2015.2500240,Alper Sarikaya 0001
10.1109/tvcg.2015.2500240,Michael Gleicher
10.1109/tvcg.2014.2322363,Åsmund Birkeland
10.1109/tvcg.2014.2322363,Cagatay Turkay
10.1109/tvcg.2014.2322363,Ivan Viola
10.1109/tvcg.2014.2327977,Andre Schollmeyer
10.1109/tvcg.2014.2327977,Bernd Froehlich 0001
10.1109/tvcg.2014.2362543,Maxime Dumas
10.1109/tvcg.2014.2362543,Michael J. McGuffin
10.1109/tvcg.2014.2362543,Patrick Chassé
10.1109/tvcg.2018.2802521,Rafael Ballester-Ripoll
10.1109/tvcg.2018.2802521,Renato Pajarola
