Year,DOI,AuthorNames-Deduped,AuthorAffiliation,Country
1991,10.1109/VISUAL.1991.175833,Steve M. Legensky,"Intelligent Light, Fair Lawn, NJ, USA",USA
1991,10.1109/VISUAL.1991.175834,David W. Robertson,"Lawrence Berkeley National Laboratory, USA",USA
1991,10.1109/VISUAL.1991.175834,V. L. Jacobson,"Lawrence Berkeley National Laboratory, USA",USA
1991,10.1109/VISUAL.1991.175834,William E. Johnston,"Lawrence Berkeley National Laboratory, USA",USA
1991,10.1109/VISUAL.1991.175834,S. C. Loken,"Lawrence Berkeley National Laboratory, USA",USA
1991,10.1109/VISUAL.1991.175834,E. H. Theil,"Lawrence Berkeley National Laboratory, USA",USA
1991,10.1109/VISUAL.1991.175834,B. L. Tieney,"Lawrence Berkeley National Laboratory, USA",USA
1991,10.1109/VISUAL.1991.175835,L. van der Sluis,,
1991,10.1109/VISUAL.1991.175836,Nan C. Schaller,"Rochester Institute of Technology, NY, USA",USA
1991,10.1109/VISUAL.1991.175837,Robert Haimes,"Massachusetts Institute of Technology, USA",USA
1991,10.1109/VISUAL.1991.175837,David L. Darmofal,"Massachusetts Institute of Technology, USA",USA
1991,10.1109/VISUAL.1991.175838,J. Burnetti,"Mitre Corporation, USA",USA
1991,10.1109/VISUAL.1991.175838,R. Manley,"Mitre Corporation, USA",USA
1991,10.1109/VISUAL.1991.175838,W. Mitchell,"Mitre Corporation, USA",USA
1991,10.1109/VISUAL.1991.175838,D. Varnadore,,
1992,10.1109/VISUAL.1992.235173,C. S. Jones,"USACE Waterways Exp. Station, Vicksburg, MS, USA",USA
1992,10.1109/VISUAL.1992.235173,J. A. Baca,"USACE Waterways Exp. Station, Vicksburg, MS, USA",USA
1992,10.1109/VISUAL.1992.235174,Norman J. Zabusky,"Rutgers University, USA",USA
1992,10.1109/VISUAL.1992.235174,Deborah Silver,"Rutgers University, USA",USA
1992,10.1109/VISUAL.1992.235175,Theresa-Marie Rhyne,,
1992,10.1109/VISUAL.1992.235175,Mark Bolstad,,
1992,10.1109/VISUAL.1992.235175,Penny Rheingans,,
1992,10.1109/VISUAL.1992.235175,Lynne Petterson,,
1992,10.1109/VISUAL.1992.235175,Walter Shackelford,,
1992,10.1109/VISUAL.1992.235175,Mike E. Botts,,
1992,10.1109/VISUAL.1992.235175,E. Pepke,,
1992,10.1109/VISUAL.1992.235175,K. W. Johnson,,
1992,10.1109/VISUAL.1992.235175,William L. Hibbard,,
1992,10.1109/VISUAL.1992.235175,Charles R. Dyer,,
1992,10.1109/VISUAL.1992.235175,Brian E. Paul,,
1992,10.1109/VISUAL.1992.235175,Lloyd Treinish,,
1992,10.1109/VISUAL.1992.235176,J. McLeod,"San Diego Supercomputing Center, CA, USA",USA
1992,10.1109/VISUAL.1992.235176,C. Small,,
1992,10.1109/VISUAL.1992.235177,Philip J. Mercurio,"San Diego Supercomputing Center, CA, USA",USA
1992,10.1109/VISUAL.1992.235177,T. Todd Elvins,"San Diego Supercomputing Center, CA, USA",USA
1992,10.1109/VISUAL.1992.235177,Stephen J. Young,,
1992,10.1109/VISUAL.1992.235178,Robert S. MacLeod,"University of Utah,USA",USA
1992,10.1109/VISUAL.1992.235178,N. E. Harrison,"University of Utah,USA",USA
1992,10.1109/VISUAL.1992.235178,Christopher R. Johnson 0001,"University of Utah,USA",USA
1992,10.1109/VISUAL.1992.235178,Michael A. Matheson,,
1992,10.1109/VISUAL.1992.235179,Alan D. Kalvin,"IBM Research, USA",USA
1992,10.1109/VISUAL.1992.235179,David Dean,,
1992,10.1109/VISUAL.1992.235179,Jean-Jaques Hublin,,
1992,10.1109/VISUAL.1992.235179,M. Braun,,
1992,10.1109/VISUAL.1992.235180,R. Popovic,"Rutherford Appleton Laboratory, Didcot, UK",UK
